INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1963-031A","634","PAYLOAD","SYNCOM 2 (A 26)","US","1963-07-26","AFETR","","1436.14","34.93","35805","35770","","","0","LARGE","6765","1963","31","A","Y","SYNCOM 2 (A 26)","1963-031A","634"
"1964-047A","858","PAYLOAD","SYNCOM 3","US","1964-08-19","AFETR","","1436.35","0.63","35812","35771","","","0","LARGE","6761","1964","47","A","Y","SYNCOM 3","1964-047A","858"
"1965-028A","1317","PAYLOAD","INTELSAT 1-F1","ITSO","1965-04-06","AFETR","","1435.21","0.80","35784","35754","","","0","MEDIUM","6764","1965","28","A","Y","INTELSAT 1-F1","1965-028A","1317"
"1966-110A","2608","PAYLOAD","ATS 1","US","1966-12-07","AFETR","","1435.72","1.79","35806","35752","","","0","LARGE","6764","1966","110","A","Y","ATS 1","1966-110A","2608"
"1967-001A","2639","PAYLOAD","INTELSAT 2-F2","ITSO","1967-01-11","AFETR","","1435.85","3.55","35836","35727","","","0","LARGE","6764","1967","1","A","Y","INTELSAT 2-F2","1967-001A","2639"
"1967-026A","2717","PAYLOAD","INTELSAT 2-F3","ITSO","1967-03-23","AFETR","","1437.09","2.70","35905","35707","","","0","LARGE","6765","1967","26","A","Y","INTELSAT 2-F3","1967-026A","2717"
"1967-094A","2969","PAYLOAD","INTELSAT 2-F4","ITSO","1967-09-28","AFETR","","1434.61","2.71","35813","35701","","","0","LARGE","6765","1967","94","A","Y","INTELSAT 2-F4","1967-094A","2969"
"1967-111A","3029","PAYLOAD","ATS 3","US","1967-11-05","AFETR","","1436.09","3.64","35844","35729","","","0","LARGE","6763","1967","111","A","Y","ATS 3","1967-111A","3029"
"1968-081C","3430","PAYLOAD","ERS 21 (OV5-4)","US","1968-09-26","AFETR","","1435.75","3.00","35785","35775","","3","0","SMALL","6151","1968","81","C","Y","ERS 21 (OV5-4)","1968-081C","3430"
"1968-081D","3431","PAYLOAD","LES 6","US","1968-09-26","AFETR","","1435.91","5.51","35838","35728","","","0","LARGE","6765","1968","81","D","Y","LES 6","1968-081D","3431"
"1969-013A","3691","PAYLOAD","OPS 0757 (TACSAT)","US","1969-02-09","AFETR","","1433.83","3.92","35825","35659","","","0","MEDIUM","6765","1969","13","A","Y","OPS 0757 (TACSAT)","1969-013A","3691"
"1969-069A","4068","PAYLOAD","ATS 5","US","1969-08-12","AFETR","","1447.35","6.77","36035","35978","","","0","LARGE","6765","1969","69","A","Y","ATS 5","1969-069A","4068"
"1969-101A","4250","PAYLOAD","SKYNET 1","UK","1969-11-22","AFETR","","1436.12","6.33","35880","35694","","","0","LARGE","6765","1969","101","A","Y","SKYNET 1","1969-101A","4250"
"1970-021A","4353","PAYLOAD","NATO 2A","NATO","1970-03-20","AFETR","","1435.96","7.00","35797","35771","","","0","LARGE","6764","1970","21","A","Y","NATO 2A","1970-021A","4353"
"1970-032A","4376","PAYLOAD","INTELSAT 3-F7","ITSO","1970-04-23","AFETR","","1436.24","4.49","35815","35764","","","0","SMALL","6765","1970","32","A","Y","INTELSAT 3-F7","1970-032A","4376"
"1971-009A","4902","PAYLOAD","NATO 2B","NATO","1971-02-03","AFETR","","1436.09","7.89","35794","35779","","","0","LARGE","6765","1971","9","A","Y","NATO 2B","1971-009A","4902"
"1971-095A","5587","PAYLOAD","OPS 9431 (DSCS 2-1)","US","1971-11-03","AFETR","","1436.15","8.34","35812","35763","","","0","LARGE","6761","1971","95","A","Y","OPS 9431 (DSCS 2-1)","1971-095A","5587"
"1971-095B","5588","PAYLOAD","OPS 9432 (DSCS 2-2)","US","1971-11-03","AFETR","","1437.85","8.29","35852","35790","","","0","LARGE","6765","1971","95","B","Y","OPS 9432 (DSCS 2-2)","1971-095B","5588"
"1971-116A","5709","PAYLOAD","INTELSAT 4-F3","ITSO","1971-12-20","AFETR","","1445.54","12.51","36026","35916","","","0","LARGE","6765","1971","116","A","Y","INTELSAT 4-F3","1971-116A","5709"
"1972-003A","5775","PAYLOAD","INTELSAT 4-F4","ITSO","1972-01-23","AFETR","","1442.45","12.69","35930","35891","","","0","LARGE","6765","1972","3","A","Y","INTELSAT 4-F4","1972-003A","5775"
"1972-041A","6052","PAYLOAD","INTELSAT 4-F5","ITSO","1972-06-13","AFETR","","1438.21","11.97","35841","35815","","","0","MEDIUM","6764","1972","41","A","Y","INTELSAT 4-F5","1972-041A","6052"
"1973-023A","6437","PAYLOAD","ANIK A2 (TELESAT 2)","CA","1973-04-20","AFETR","","1442.91","12.80","35984","35855","","","0","LARGE","6765","1973","23","A","Y","ANIK A2 (TELESAT 2)","1973-023A","6437"
"1974-022A","7250","PAYLOAD","WESTAR 1","US","1974-04-13","AFETR","","1441.61","12.86","35935","35854","","","0","LARGE","6765","1974","22","A","Y","WESTAR 1","1974-022A","7250"
"1974-039C","7324","ROCKET BODY","TITAN 3C TRANSTAGE R/B","US","1974-05-30","AFETR","","1430.37","9.44","35778","35570","","","0","LARGE","6763","1974","39","C","Y","TITAN 3C TRANSTAGE R/B","1974-039C","7324"
"1974-060A","7392","PAYLOAD","MOLNIYA 1-S","CIS","1974-07-29","TTMTR","","1435.38","8.12","35799","35746","","","0","LARGE","6765","1974","60","A","Y","MOLNIYA 1-S","1974-060A","7392"
"1974-075A","7466","PAYLOAD","WESTAR 2","US","1974-10-10","AFETR","","1442.04","12.93","35909","35897","","","0","LARGE","6764","1974","75","A","Y","WESTAR 2","1974-075A","7466"
"1974-093A","7544","PAYLOAD","INTELSAT 4-F8","ITSO","1974-11-21","AFETR","","1442.99","13.34","35930","35913","","","0","LARGE","6763","1974","93","A","Y","INTELSAT 4-F8","1974-093A","7544"
"1974-094A","7547","PAYLOAD","SKYNET 2B","UK","1974-11-23","AFETR","","1434.47","10.05","35767","35743","","","0","LARGE","6764","1974","94","A","Y","SKYNET 2B","1974-094A","7547"
"1974-101A","7578","PAYLOAD","SYMPHONIE 1","FGER","1974-12-19","AFETR","","1440.62","11.11","35900","35850","","","0","LARGE","6764","1974","101","A","Y","SYMPHONIE 1","1974-101A","7578"
"1975-011A","7648","PAYLOAD","SMS 2","US","1975-02-06","AFETR","","1447.09","11.87","36042","35961","","","0","LARGE","6765","1975","11","A","Y","SMS 2","1975-011A","7648"
"1975-038A","7790","PAYLOAD","ANIK A3 (TELESAT-3)","CA","1975-05-07","AFETR","","1439.27","13.16","35872","35826","","","0","LARGE","6765","1975","38","A","Y","ANIK A3 (TELESAT-3)","1975-038A","7790"
"1975-077A","8132","PAYLOAD","SYMPHONIE 2","FGER","1975-08-27","AFETR","","1440.36","10.63","35909","35831","","","0","LARGE","6764","1975","77","A","Y","SYMPHONIE 2","1975-077A","8132"
